GroupName,Link,Monthly List
BXK,https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM,5477999
Byeolmuri,,#VALUE!
Bz Boys,https://open.spotify.com/artist/73FA33YtQWdPuswF6u7u4D,2292
C-CLOWN,https://open.spotify.com/artist/5HBeCjZkFtwfLYD7X3kLwi,63409
C.I.V.A,https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk,3655129
CAMILA,https://open.spotify.com/artist/4nDoRrQiYLoBzwC5BhVJzF,15657396
Carcaro Girl,,#VALUE!
Celeb Five,https://open.spotify.com/artist/6uxtW6aFdPmCXF6GWbVaOU,2336
Champs,https://open.spotify.com/artist/1mbgj8ERPs8lWi7t5cYrdy,943547
CHECKMATE,https://open.spotify.com/artist/4Uc8Dsxct0oMqx0P6i60ea,943117
Cherish,https://open.spotify.com/artist/4iw6QArXcxuKkS1v2mo47u,57
Cherry Bullet,https://open.spotify.com/artist/3IJCdgkBZbieocLZ4e94GZ,81871
CHERRY ON TOP,https://open.spotify.com/artist/60cVbnHVILVFAO7tl3crPV,9417
CHI CHI,https://open.spotify.com/artist/2iojnBLj0qIMiKPvVhLnsH,4932507
Chic Angel,https://open.spotify.com/artist/0LklyUMMUhpIjMgYHlV0hN,126191
ChoColat,https://open.spotify.com/artist/3mIj9lX2MWuHmhNCA7LSCW,3914533
CICI,https://open.spotify.com/artist/3cvKNz7BwIY404XtZ5tpUW,125489
Cignature,https://open.spotify.com/artist/5x9WawpXGR82PWDFk9CKYQ,12661
CIX,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,23933122
Classmate,https://open.spotify.com/artist/0NT8fqhPoKJrd038u1Qumz,5165
CLC,https://open.spotify.com/artist/6QyO41KctzGc70mVaVnXQO,563152
CLIMIX BOYGROUP,,#VALUE!
CNBLUE,https://open.spotify.com/artist/6dCz3spfpIvqqqsIoP6wXi,464334
Category:Co-ed groups,,#VALUE!
CoCo (group),https://open.spotify.com/artist/55mFyyu5PZMQyAIWSn76uu,490
CODE-V,https://open.spotify.com/artist/5Yk09n2L8j0DIevsAfinE0,473
Coed School,https://open.spotify.com/artist/6ZsTqFoNYY6cyRcKnvOu3A,1831
CRAVITY,https://open.spotify.com/artist/5YxebzzreNswbtYC1td4cx,333391
CRAXY,https://open.spotify.com/artist/6ZLTlhejhndI4Rh53vYhrY,2793873
Crayon Pop,https://open.spotify.com/artist/0ODX6aegsZkBmBeMA5qqwi,92568
CROSS GENE,https://open.spotify.com/artist/5xKVZmAj8EnT9X9Acz1Qvv,123566
CSVC,https://open.spotify.com/artist/3giVZjriL2C3Gn798Eciez,520
Cube Tree,https://open.spotify.com/artist/4X0yg3kP4yvppbWjJCGnje,225
D-CRUNCH,https://open.spotify.com/artist/08Ld63UgKrJ0nZnCkzHtzc,370861
D.A.N,https://open.spotify.com/artist/1gR0gsQYfi6joyO1dlp76N,873566
D.COY,https://open.spotify.com/artist/3K9r1j7v9wKT9zJ2Xo9Dgk,532
D.el,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,28114008
D.Holic,https://open.spotify.com/artist/1V7MmQ36ihG1f3qe46L50n,15417
D.T.E,https://open.spotify.com/artist/31W5EY0aAly4Qieq6OFu6I,4327982
